task,split,model_name,model_version,tenant_id,horizon_hours,quantile,metric_name,metric_value,sample_count,target_start,target_end,notes
load,test,model,stage4_v1,Electronics_E,1,,normalized_interval_width,1.3229148179476624,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Electronics_E,1,,below_interval_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Electronics_E,1,,above_interval_frequency,0.09720062208398134,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Electronics_E,1,,raw_crossing_frequency,0.0007776049766718507,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Electronics_E,1,,corrected_crossing_frequency,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Electronics_E,1,,negative_raw_prediction_count,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Electronics_E,1,,nighttime_correction_count,0.0,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,MAE,120.16573119164948,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,RMSE,146.34520872926683,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,WAPE,0.07590937204506329,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,normalized_MAE_by_mean_target,0.0759093720450633,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,bias,-113.81267053434223,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,maximum_absolute_error,1448.7415155675374,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,pinball_p10,158.30157456751664,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,pinball_p50,60.08286559582474,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,pinball_p90,12.108943185748885,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
load,test,model,stage4_v1,Semiconductor_B,1,,mean_pinball_loss,76.83112778303008,1286,2013-11-08 10:00:00+07:00,2013-12-31 23:00:00+07:00,
